indeks;kategoria;podkategoria 1;podkategoria 2;podkategoria 3;subcategory 4;podkategoria 5;podkategoria 6;nazwa;nazwa marketingowa;Ean;opis;dodatkowy opis;Uzupełniający;Materiał;Kolor;Gwarancja;Długość;Wysokość;Szerokość;Waga
AE-BPW1SACP-10;Oświetlenie meblowe;Gniazda meblowe;CHARGER PLUS;;;;Gniazdo meblowe CHARGER PLUS,1 gn schuko,USB A+C,wymien USB-A,HDMI 1,4,RJ45,przewód 1,5m,biały;Gniazdo meblowe CHARGER PLUS;5902801325519;Łatwe w użytkowaniu, minimalistyczne gniazdo Charger Plus przeznaczone jest do wszelkiego rodzaju biurek i blatów np. kuchennych. Charakteryzuje się bardzo niskim elementem montażowym.;Ładowarka indukcyjna 5 W z sygnałem dźwiękowym; Wymienne gniazda USB-A, HDMI, RJ-45; Bardzo niski profil umożliwiający montaż nad szufladą.;;aluminium, tworzywo;biały;25-letnia;24;10;11;0.62
HT1R232;Narzędzia;Narzędzia mechaniczne;Zestawy narzędzi;Zestawy nasadek;Zestawy narzędziowe 112 szt. 1/2";;Zestaw narzędziowy 112 szt., CrV, grzechotki 1/4" i 1/2";Zestaw narzędziowy 112 szt.;5901867145543;Nasadki, końcówki i akcesoria wykonane z wysokogatunkowej stali stopowej chromowo-wanadowej. Odporne na odkształcenia. Odkuwane matrycowo mechanizm zapadkowy grzechotki (72 zęby).;Zestaw zawiera nasadki 1/4" i 1/2", końcówki wkrętakowe, grzechotki 72 zęby, przedłużki, przeguby uniwersalne. Zapakowane w praktyczną, wzmocnioną walizkę z metalowymi zamkami i zawiasami.;;stal chromowo-wanadowa, stal chromowo-molibdenowa;;25-letnia;40.5;40.4;31.8;29.6
HT1R444;Narzędzia;Narzędzia mechaniczne;Zestawy narzędzi;Zestawy nasadek;Zestawy narzędziowe 222 szt. 1/4", 3/8", 1/2";;Zestaw narzędziowy, 222 sztuk, CrV, grzechotki 72 T;Zestaw narzędzi;5902801028137;Kompletny zestaw nasadek, końcówek wkrętakowych i innych akcesoriów 1/4", 3/8", 1/2". 222 elementów.;nasadki, końcówki i akcesoria wykonane z wysokogatunkowej stali stopowej CrV; odporne na odkształcenia; odkuwane matrycowo; mechanizm zapadkowy grzechotki 72 zęby;;stal chromowo-wanadowa, stal chromowo-molibdenowa;;25-letnia;48;37;10;11.64
HT1R462;Narzędzia;Narzędzia mechaniczne;Zestawy narzędzi;Zestawy nasadek;Zestawy narzędziowe 38 szt. 1/4";;Zestaw narzędzi 38 szt.;Zestaw narzędzi;5901867178510;Zestaw nasadek, koncówek wkretakowych i akcesoriów 1/4".;nasadki i akcesoria wykonane ze stali stopowej chromowo-wanadowej; koncówki wkretakowe wykonane ze stali S2; odporne na odkształcenia; mechanizm zapadkowy grzechotki z 72 zebami;;stal chromowo-wanadowa, stal chromowo-molibdenowa, S2;;dożywotnia;16;5;9;0.812
HT5K414-S;BHP;Odzież i akcesoria;Odzież;T-shirt;VILS T-shirt bawełniany;;VILS T-shirt bawełniany czarny S (48);VILS T-shirt bawełniany;5902801287176;Wysokiej jakości T-shirt z krótkim rękawem o klasycznym kroju. Model unisex. Posiada okrągły dekolt.;materiał: dzianina 100% bawełna; gramatura: 180 g/m²; wąskie, prążkowane wykończenie dekoltu; klasyczny krój; zapakowany w worek foliowy.;;dzianina 100% bawełna;czarny;;26.5;1;34.5;0.2016
WZ-ARCO-20M;Akcesoria meblowe;Wieszaki;Klasyczne;ARCO;;;Wieszak GTV ARCO, pojedynczy, ZnAl, czarny mat;;5902801426896;Wieszak ARCO jest klasycznym modelem o prostej, minimalistycznej formie, który doskonale sprawdza się w wielu aranżacjach wnętrzarskich.;wykonany ze znalu; prosta, minimalistyczna forma; wysokość: 62,5 mm, głębokość: 46 mm; dostępny w trzech uniwersalnych kolorach; wkręty montażowe w zestawie: 2x 4x20;;ZnAl;czarny mat;;7;2.4;11.2;0.0795
